Gene ID	Symbol	Annotation	Modification	Description	Protein GI	Protein Num	Area	FoT(1e-6)	iBAQ	Peptide Num	Unique Peptide Num	Strict Peptide Num	US Peptide Num	Identified Proteins Num	Unique Proteins Num
818	CAMK2G	co_0,ki_1,li_0,re_1,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	calcium/calmodulin-dependent protein kinase II gamma	gi|26667203;gi|26667196;gi|26667211;gi|26667199;gi|26667191;gi|325197141	6	1691710861.22	1.9328	22485606.8758	6	2	5	1	6	6
6636	SNRPF	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	small nuclear ribonucleoprotein polypeptide F	gi|4507131	1	845044069.724	14.5273	169008813.945	2	2	2	2	1	1
2747	GLUD2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	glutamate dehydrogenase 2	gi|31377775	1	4951423620.98	6.4485	75021570.0149	7	0	7	0	1	1
493	ATP2B4	co_0,ki_0,li_0,re_1,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	ATPase, Ca++ transporting, plasma membrane 4	gi|48255957;gi|48255959	2	744889144.877	0.3325	3868085.88696	3	0	3	0	2	2
10607	TBL3	co_1,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	transducin (beta)-like 3	gi|19913369	1	98099541.9623	0.1833	2132598.73831	2	2	2	2	1	1
55471	NDUFAF7	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7	gi|21396487	1	172403823.888	0.57	6630916.30338	2	2	0	0	1	1
8030	CCDC6	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	coiled-coil domain containing 6	gi|46852390	1	2275684723.54	7.8243	91027388.9418	4	4	3	3	1	1
8663	EIF3C	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	eukaryotic translation initiation factor 3, subunit C	gi|389616156	1	3501149164.94	3.2711	38055969.1841	15	0	11	0	1	1
70	ACTC1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	actin, alpha, cardiac muscle 1	gi|4885049	1	1.14627945301e+12	704.565	8196833110.51	15	0	13	0	1	1
3920	LAMP2	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	lysosomal-associated membrane protein 2	gi|4504957;gi|7669503;gi|169790833	3	192904061.17	0.8027	9339006.13601	1	1	1	1	3	3
79869	CPSF7	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	cleavage and polyadenylation specific factor 7, 59kDa	gi|217035107;gi|209862881;gi|217035102	3	1089600121.76	4.0869	47546187.1312	6	6	3	3	3	3
