Gene ID	Symbol	Annotation	Modification	Description	Protein GI	Protein Num	Area	FoT(1e-6)	iBAQ	Peptide Num	Unique Peptide Num	Strict Peptide Num	US Peptide Num	Identified Proteins Num	Unique Proteins Num
1434	CSE1L	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	CSE1 chromosome segregation 1-like (yeast)	gi|29029559;gi|371502112	2	6346201636.61	9.6065	113325029.225	12	12	10	10	2	2
1175	AP2S1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	adaptor-related protein complex 2, sigma 1 subunit	gi|11038643;gi|70906430	2	514417429.709	6.7487	79612221.2645	3	3	2	2	2	2
23186	RCOR1	co_1,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	REST corepressor 1	gi|344925845	1	41833499.0482	0.0682	804490.366312	1	0	1	0	1	1
55759	WDR12	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	WD repeat domain 12	gi|217330644	1	174185798.697	0.642	7573295.59553	2	2	1	1	1	1
169714	QSOX2	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	quiescin Q6 sulfhydryl oxidase 2	gi|145580631	1	133347819.281	0.2691	3174948.07812	3	3	2	2	1	1
81	ACTN4	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	actinin, alpha 4	gi|12025678	1	1.79612119466e+11	217.9281	2570824618.22	44	29	40	27	1	1
653269	POTEI	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	POTE ankyrin domain family, member I	gi|410171728;gi|475808427	2	4.00662403507e+11	65.5034	772722365.593	5	0	5	0	2	2
3187	HNRNPH1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	heterogeneous nuclear ribonucleoprotein H1 (H)	gi|381342476	1	13777531710.6	40.6766	479847730.13	13	6	12	6	1	1
25791	NGEF	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	neuronal guanine nucleotide exchange factor	gi|166197690;gi|166197688	2	2422988.67783	0.0054	64162.7663816	1	1	1	1	2	2
7965	AIMP2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	gi|11125770	1	1401224815.67	6.2517	73748674.5091	4	4	3	3	1	1
