Gene ID	Symbol	Annotation	Modification	Description	Protein GI	Protein Num	Area	FoT(1e-6)	iBAQ	Peptide Num	Unique Peptide Num	Strict Peptide Num	US Peptide Num	Identified Proteins Num	Unique Proteins Num
221937	FOXK1	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_1,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	forkhead box K1	gi|82546824	1	220832648.091	0.4317	5520816.20228	6	6	6	6	1	1
51072	MEMO1	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	mediator of cell motility 1	gi|7705720;gi|212286159	2	408389927.236	2.0036	25624466.0226	2	2	2	2	2	2
55602	CDKN2AIP	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	CDKN2A interacting protein	gi|8923040	1	130008974.157	0.2904	3714542.11879	2	2	2	2	1	1
30851	TAX1BP3	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	Tax1 (human T-cell leukemia virus type I) binding protein 3	gi|325296954;gi|11993943	2	124802962.667	2.1956	28080666.6001	1	1	1	1	2	2
9554	SEC22B	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)	gi|380837121	1	1449849789.07	9.447	120820815.756	6	6	6	6	1	1
255252	LRRC57	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	leucine rich repeat containing 57	gi|194394161	1	102363147.133	0.5336	6824209.80888	2	2	2	2	1	1
84916	CIRH1A	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	cirrhosis, autosomal recessive 1A (cirhin)	gi|186928847	1	110370088.679	0.2332	2982975.3697	2	2	1	1	1	1
9144	SYNGR2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	synaptogyrin 2	gi|4759202	1	275816774.896	2.1566	27581677.4896	1	1	1	1	1	1
4701	NDUFA7	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	gi|103472001	1	337765099.984	3.7729	48252157.1406	3	3	3	3	1	1
2950	GSTP1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	glutathione S-transferase pi 1	gi|4504183	1	62653728137.4	408.2437	5221144011.45	12	12	9	9	1	1
408	ARRB1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	arrestin, beta 1	gi|10880134;gi|10880136	2	514287974.562	1.8278	23376726.1165	1	1	0	0	2	2
644	BLVRA	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	biliverdin reductase A	gi|359465572	1	39229537.4661	0.1804	2307619.85095	1	1	1	1	1	1
10762	NUP50	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	nucleoporin 50kDa	gi|24497451;gi|24497447	2	799674430.669	2.2331	28559801.0953	2	2	2	2	2	2
135293	PM20D2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	peptidase M20 domain containing 2	gi|58082085	1	27713569.9202	0.0985	1259707.72365	1	1	1	1	1	1
92170	MTG1	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	mitochondrial ribosome-associated GTPase 1	gi|93277113	1	10673722.6	0.0397	508272.504762	1	1	0	0	1	1
5565	PRKAB2	co_0,ki_0,li_0,re_1,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	protein kinase, AMP-activated, beta 2 non-catalytic subunit	gi|4885561	1	27693594.3485	0.0516	659371.294012	1	0	0	0	1	1
3934	LCN2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	lipocalin 2	gi|38455402	1	78032155.5001	0.6101	7803215.55001	1	1	0	0	1	1
3075	CFH	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	complement factor H	gi|62739186;gi|62739188	2	599197028.562	0.7099	9078742.85699	3	3	0	0	2	2
3959	LGALS3BP	co_0,ki_0,li_1,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	lectin, galactoside-binding, soluble, 3 binding protein	gi|5031863	1	10834868432.2	28.2394	361162281.072	13	13	11	11	1	1
