Gene ID	Symbol	Annotation	Modification	Description	Protein GI	Protein Num	Area	FoT(1e-6)	iBAQ	Peptide Num	Unique Peptide Num	Strict Peptide Num	US Peptide Num	Identified Proteins Num	Unique Proteins Num
84295	PHF6	co_1,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	PHD finger protein 6	gi|62865858;gi|63478060	2	134783180.042	0.6529	7173334.51204	2	2	1	1	2	2
10087	COL4A3BP	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	gi|5031717;gi|194294543;gi|14165452	3	0.0	0.0	0.0	1	1	1	1	3	3
5351	PLOD1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	gi|32307144	1	27705842.5336	0.056	615685.389636	1	1	1	1	1	1
1808	DPYSL2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	dihydropyrimidinase-like 2	gi|4503377;gi|308818195;gi|347543829	3	1198795636.59	3.0697	33727970.2198	7	6	7	6	3	3
50808	AK3	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	adenylate kinase 3	gi|19923437;gi|315434229	2	55419438.7219	0.3776	4149048.88827	1	1	1	1	2	2
84128	WDR75	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	WD repeat domain 75	gi|29789283	1	115714833.281	0.2394	2629882.57457	1	1	0	0	1	1
6430	SRSF5	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	serine/arginine-rich splicing factor 5	gi|86991440	1	2519066453.85	9.5527	104961102.244	1	0	1	0	1	1
1153	CIRBP	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	cold inducible RNA binding protein	gi|4502847	1	268687482.535	2.4454	26868748.2535	2	2	1	1	1	1
10906	TRAFD1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	TRAF-type zinc finger domain containing 1	gi|219879806	1	494017498.93	1.5504	17035086.17	1	1	0	0	1	1
6133	RPL9	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	ribosomal protein L9	gi|67944630	1	6814576201.67	68.9122	757175133.518	5	5	5	5	1	1
10075	HUWE1	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	gi|61676188	1	2105836118.06	0.917	10075770.8998	20	20	14	14	1	1
11252	PACSIN2	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	protein kinase C and casein kinase substrate in neurons 2	gi|296841095;gi|296841091	2	1311243352.51	4.873	53542436.8943	7	7	5	5	2	2
79171	RBM42	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	RNA binding motif protein 42	gi|21359951	1	78357785.6848	0.3566	3917889.28424	1	1	1	1	1	1
101060817	LOC101060817	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	glycine cleavage system H protein, mitochondrial-like	gi|410169977	1	608551623.375	3.077	33808423.5208	1	0	1	0	1	1
5198	PFAS	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	phosphoribosylformylglycinamidine synthase	gi|31657129	1	602079399.584	0.8303	9122415.14521	6	6	2	2	1	1
11124	FAF1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	Fas (TNFRSF6) associated factor 1	gi|5901948	1	187590525.06	0.5691	6253017.502	2	2	1	1	1	1
50807	ASAP1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	gi|351542238;gi|46094081	2	49203837.425	0.0364	400057.641676	1	0	1	0	2	2
9933	KIAA0020	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	KIAA0020	gi|109948283	1	39938941.9492	0.1039	1141112.62712	2	2	1	1	1	1
4647	MYO7A	co_0,ki_0,li_0,re_0,pmm_0,pmh_1,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	myosin VIIA	gi|189083798;gi|256355179;gi|189083802	3	96697281.8029	0.0508	558168.923494	1	0	0	0	3	3
642636	RAD21L1	co_0,ki_0,li_0,re_0,pmm_0,pmh_0,tf_0,gbindxenopus_0	Acetyl_0,Methyl_0,GlyGly_0,Biotin_0,PhosphoST_0,PhosphoY_0,#_0,#_0	RAD21-like 1 (S. pombe)	gi|222136644	1	136333139.507	0.2585	2840273.73972	2	0	2	0	1	1
